"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"2328","Nebraska Power Company","Nebraska","26-093","38468934","8841568",NA,"17417275"
"2329","Nebraska Public Service Company","Nebraska","26-097","568431","110645","1332","6426650"
"2330","Nebraska Utilities","Nebraska","26-101",NA,NA,NA,NA
"2331","Northwestern Public Service","Nebraska","26-109",NA,NA,NA,NA
"2332","Oak Electric Light Co.","Nebraska","26-114","2500","238","52","41730"
"2333","W. D. Reninger Light & Power","Nebraska","26-126","10730","5815","109",NA
"2334","Riverside Power Plant","Nebraska","26-128","5000",NA,"33",NA
"2335","Stockville Garage","Nebraska","26-135","3900",NA,NA,NA
"2336","Verdel Light and Power Company","Nebraska","26-141",NA,NA,NA,NA
"2337","Wauneta Light and Power Co.","Nebraska","26-151","30196","18649",NA,NA
"2338","The Western Public Service","Nebraska","26-156","10992898","1954180","2584421067","15183976"
"2339","Cedar Valley Roller Mill Light &","Nebraska","26-231",NA,NA,NA,NA
"2340","The Crete Mills","Nebraska","26-252",NA,NA,NA,NA
"2341","Lea Milling Co., Inc.","Nebraska","26-273","35000",NA,NA,NA
"2342","Nebraska Cement Company","Nebraska","26-294",NA,NA,NA,NA
"2343","Norfolk Cereal & Flour Mills Co.","Nebraska","26-315","27500","845",NA,NA
"2344","Springview Flour & Grain","Nebraska","26-360","25000","6632","122",NA
"2345","Verdigre Creamery Company","Nebraska","26-363","34118","8148","178",NA
"2346","Zwonecek and Aksamil","Nebraska","26-378",NA,NA,NA,NA
"2347","*Village of Amherst","Nebraska","26-509",NA,NA,NA,NA
"2348","'Alexandria Light Department","Nebraska","26-510",NA,NA,NA,NA
"2349","*Alliance Municipal Utilities","Nebraska","26-511","608851","157165","1940",NA
"2350","*AIma Municipal Light Plant","Nebraska","26-512",NA,NA,NA,NA
"2351","*Ansley Municipal Light Plant","Nebraska","26-513",NA,"13383","230",NA
"2352","*City of Arapahoe","Nebraska","26-514","19107",NA,"16356","342240"
"2353","'City of Auburn","Nebraska","26-515","348706","89315","1732",NA
"2354","""Village of Arnold","Nebraska","26-516","50000","2060",NA,NA
"2355","""Village of Hartley","Nebraska","26-517","20000","4117","160","92000"
"2356","""City of Beatrice","Nebraska","26-518","168263","64505","1383","2026754"
"2357","*City of Beaver City","Nebraska","26-519","93909","14601","420",NA
"2358","*Belden Municipal Power Plant","Nebraska","26-520","12000",NA,"86",NA
"2359","*City of Bayard","Nebraska","26-521",NA,NA,NA,NA
"2360","*Belvidere Light System","Nebraska","26-522","5000",NA,"100","60000"
"2361","*Benkelman Light and Water","Nebraska","26-523","1e+05","22437","495",NA
"2362","*Bertrand Municipal Light &","Nebraska","26-524","25374","2488","220","182800"
"2363","*City of Blair Light Dept.","Nebraska","26-525","285409","82814","1060",NA
"2364","*Bloomfield Light & Power Plant","Nebraska","26-526","75000","22000","450",NA
"2365","*Boone-Nance Rural Public","Nebraska","26-527","130948","3657","117","2733"
"2366","*Blue Hill Electric Plant","Nebraska","26-528","60000","8787","261",NA
"2367","* Village of Bradshaw","Nebraska","26-529",NA,NA,NA,NA
"2368","*Butler County Rural Public","Nebraska","26-530","117090","5248","164","49362"
"2369","*VUlage of Brady","Nebraska","26-531",NA,"6773","110",NA
"2370","""Village of Brainard","Nebraska","26-532","8000","4840","166","142200"
"2371","*City of Broken Bow","Nebraska","26-533","248170","58636","838",NA
"2372","*Village of Bruning","Nebraska","26-534","9500","3829","115","88910"
"2373","""Buffalo County Public","Nebraska","26-535",NA,NA,NA,NA
"2374","Principal Electric Utility Official:","Nebraska","26-830","270008","27692","283","1315231"
"2375","*Burt County Rural Public","Nebraska","26-536","475127","49146","801","301940"
"2376","*Burwell Municipal Utilities","Nebraska","26-537",NA,"16800","418","6e+05"
"2377","'Cambridge Light and Water","Nebraska","26-538",NA,"19260",NA,NA
"2378","*Campbell Municipal Electric","Nebraska","26-539","60000","5877","175",NA
"2379","*Cedar-Knox County Rural Public","Nebraska","26-540","306868","25724","607","348600"
"2380","•""Village of Carroll","Nebraska","26-541",NA,NA,NA,NA
"2381","•""Central City Light Department","Nebraska","26-542","70000","39846","947","1486400"
"2382","*Ceresco Municipal Light & Power","Nebraska","26-543",NA,"4976","144",NA
"2383","""The Central Nebraska Public","Nebraska","26-544","20743806","135019",NA,"18048474"
"2384","*City of Chappell","Nebraska","26-545","136965","28270","360",NA
"2385","""Village of Chester","Nebraska","26-546",NA,"12034","101","221740"
"2386","""Village of Clarkson","Nebraska","26-547","20000","2415","286","266300"
"2387","""Consumers Public Power","Nebraska","26-548",NA,NA,NA,NA
"2388",NA,"Nebraska","26-032",NA,NA,NA,NA
"2389","4. 1941.","Nebraska","26-076","4419366","28009","466","9634152"
"2390","""Cody Electric Department","Nebraska","26-549",NA,NA,NA,NA
"2391","*Cook Electric Light System","Nebraska","26-550",NA,"6278","180",NA
"2392","*Chimney Rock Public Power","Nebraska","26-551","258637","32262","680","68788"
"2393","*Cotesfield Electric Light","Nebraska","26-552",NA,NA,NA,NA
"2394","""City of Cozad","Nebraska","26-553",NA,NA,NA,NA
"2395","""•Village of Crab Orchard","Nebraska","26-554","172709","59438","1165",NA
"2396","*Crookston Municipal Electric","Nebraska","26-556",NA,"3972",NA,"66720"
"2397","*City of Curtis","Nebraska","26-557","148768","19459","430",NA
"2398","*Cuming County Rural Public","Nebraska","26-558","489566","40129","902","683016"
"2399","'""Dakota City Municipal Electric","Nebraska","26-559","25000","5328","176","106220"
"2400","*Danbury Light Department","Nebraska","26-560",NA,NA,NA,NA
"2401","•""Davenport Water & Light","Nebraska","26-561","15000",NA,NA,"126410"
"2402","*Dawson County Public Power","Nebraska","26-562","556311","38229","760","519831"
"2403","""City of David City Light & Water","Nebraska","26-563","175000","46365","975",NA
"2404","*VilIage of De Witt Municipal","Nebraska","26-564","30000","10560","212",NA
"2405","'Village of Decatur Light and","Nebraska","26-565",NA,"7467","202","46608"
"2406","•""Village of Dix","Nebraska","26-566","15000",NA,"80","85310"
"2407","*Deshler Municipal Utilities","Nebraska","26-567","135000","18850",NA,NA
"2408","""""Village of Dorchester","Nebraska","26-568","14000","2460","193","194700"
"2409","*Douglas Municipal System","Nebraska","26-569",NA,NA,NA,NA
"2410","""Village of Dubois","Nebraska","26-570",NA,NA,NA,NA
"2411","*Eastern Nebraska Public Power","Nebraska","26-571","1442949","93522","2686","871475"
"2412","*Duncan Municipal Light &","Nebraska","26-572",NA,NA,NA,NA
"2413","""Village of Eddyville, Electric","Nebraska","26-573","3000","4000","100","55500"
"2414","*City of Edgar Light & Water","Nebraska","26-574","40000","9757","300","229436"
"2415","""Town of Elk Creek","Nebraska","26-575",NA,"3245","80","80000"
"2416","""Emerson Municipal Light &","Nebraska","26-577","58000","14749","297",NA
"2417","•""Village of Endicott","Nebraska","26-578",NA,NA,"78",NA
"2418","*Fairbury Light & Water","Nebraska","26-579","788956","182094","2905",NA
"2419","'Fairmont Municipal Light &","Nebraska","26-580","45000","12430","200","313300"
"2420","*Falls City Water & Light","Nebraska","26-582","4e+05","103798","2108",NA
"2421","""Farnam Municipal Electric Plant","Nebraska","26-583","18000","5175","154",NA
"2422","""Village of Filley","Nebraska","26-584",NA,NA,NA,NA
"2423","•""Firth Municipal Electric","Nebraska","26-586",NA,"3800","70",NA
"2424","""Franklin Electric Light Plant","Nebraska","26-587",NA,"21096","425",NA
"2425","""Department of Utilities of the","Nebraska","26-589","1659111","22461","475","468000"
"2426","""Village of Funk","Nebraska","26-591",NA,NA,"2500",NA
"2427","*City of Gering","Nebraska","26-593","80000","74579","917","2637600"
"2428","*Gering Valley Rural Public","Nebraska","26-594","44537","6440","109","132580"
"2429","*GiItner Light & Water","Nebraska","26-595",NA,NA,NA,NA
"2430","""•Village of Glenvil","Nebraska","26-597","6500","3123","113","75950"
"2431","""•Grand Island Electric","Nebraska","26-598","129663","244507","4006",NA
"2432","* Village of Greenwood Light","Nebraska","26-599","15000","4133","125","93758"
"2433","* Village of Haigler Electric","Nebraska","26-600",NA,"5924","132",NA
"2434","•""Village of Hampton","Nebraska","26-601",NA,"5188","146","114194"
"2435","*Harrison Light, Water & Power","Nebraska","26-602","25000","7287","164",NA
"2436","""Hastings Water and Light","Nebraska","26-603","1887186","318803","4950","1444000"
"2437","H'ify of Hebron, Light & Water","Nebraska","26-606","53923","32068","626","960425"
"2438","""Village of Henry","Nebraska","26-607","5000",NA,"62","114000"
"2439","*Village of Hickman","Nebraska","26-609","30000","6148","122","105456"
"2440","* Village of Hildreth","Nebraska","26-610","13281","5450","130","125440"
"2441","""Holbrook Municipal Light,","Nebraska","26-611","477","8538","181",NA
"2442","""Holdrege Municipal Light &","Nebraska","26-612","350765","72358","1200","221200"
"2443","""Howard County Rural Public","Nebraska","26-613","369591","24945","320","412444"
"2444","*HoweIls Municipal Electric","Nebraska","26-614","15000","11403","270","281880"
"2445","'Village of Hubbell","Nebraska","26-615",NA,NA,NA,NA
"2446","*Hyannis Municipal Light Plant","Nebraska","26-616",NA,NA,"131",NA
"2447","'Imperial Municipal Light &","Nebraska","26-617","135235","22425",NA,NA
"2448","*City of Indianola","Nebraska","26-619","15000","9467","260","233100"
"2449","'Village of Kilgore","Nebraska","26-620",NA,"2665","67","41672"
"2450","*Kimball Municipal Utilities","Nebraska","26-621","118520","32973","624",NA
"2451","""Laurel Municipal Power Plant","Nebraska","26-623",NA,"20182","349",NA
"2452","""Village of Lebanon","Nebraska","26-624",NA,"2252","72","42990"
"2453","""Leigh Light & Power","Nebraska","26-625",NA,NA,NA,NA
"2454","""Lewis ton Distributing System","Nebraska","26-626",NA,NA,NA,NA
"2455","""Commercial Light Department,","Nebraska","26-628","1860517","305295","5339",NA
"2456","*Village of Litchfield","Nebraska","26-629",NA,NA,"110",NA
"2457","*Lodgepole Municipal Light &","Nebraska","26-630",NA,NA,NA,NA
"2458","Tillage of Loomis","Nebraska","26-631","20000","4244","90","100700"
"2459","•l.oup River Public Power District","Nebraska","26-632","985347",NA,"381463","20252440"
"2460","'Village of Lyman","Nebraska","26-633","17340","133","211","34027"
"2461","* Lyons Municipal Light and","Nebraska","26-634",NA,"17657","408",NA
"2462","'Madison Municipal Light &","Nebraska","26-635","194550","36491","860",NA
"2463","""•Madison County Rural Public","Nebraska","26-636","185460","7484","229","34400"
"2464","MVlason City Municipal Electric &","Nebraska","26-638",NA,"5466","135",NA
"2465","""Village of Maxwell","Nebraska","26-639",NA,"3355","125","91300"
"2466","""Mead Electric Light Plant","Nebraska","26-640","5000","4471","107","81900"
"2467","*Village of Milford","Nebraska","26-642","22500","10827","305","323870"
"2468","*Minden Light Department","Nebraska","26-643",NA,"33648","967",NA
"2469","'Mitchell Electric Department","Nebraska","26-644",NA,NA,NA,NA
"2470","*North Platte Municipal","Nebraska","26-645","1800000","323303","3729",NA
"2471","""Village of Moorefield","Nebraska","26-646",NA,NA,NA,NA
"2472","""•Merrill Municipal Electric","Nebraska","26-647","33820","18767","480","947192"
"2473","*Village of Mullen","Nebraska","26-648","40000","14750","140",NA
"2474","*Nebraska Public Power System*","Nebraska","26-649",NA,NA,NA,NA
"2475",NA,"Nebraska","26-632",NA,NA,NA,NA
"2476","Principal Eleetrk Utility Officials:","Nebraska","26-663",NA,NA,NA,NA
"2477","'Nelson Municipal Light & Water","Nebraska","26-650","30000","14600","310","289000"
"2478","*Norris Rural Public Power","Nebraska","26-651","1376982","98838","1993","3593177"
"2479","*Ohiowa Electric System","Nebraska","26-652","12000","4842","145","69970"
"2480","*Ong Municipal Electric System","Nebraska","26-653",NA,"3777","92","64400"
"2481","^Northeast Nebraska Rural Public","Nebraska","26-654","163383","8820",NA,"28800"
"2482","*Ord Light & Water Plant","Nebraska","26-655",NA,"80266","841","64000"
"2483","•Oxford Light and Power Plant","Nebraska","26-656",NA,"24839","380",NA
"2484","'Panama Municipal Light Plant","Nebraska","26-657",NA,NA,NA,NA
"2485","*Paxton Light & Power","Nebraska","26-659",NA,NA,NA,NA
"2486","*Pender Municipal Light Plant","Nebraska","26-660","70766","19164","403",NA
"2487","*Peru Light and Water Plant","Nebraska","26-661",NA,NA,NA,NA
"2488","*City of Plainview","Nebraska","26-662","143000","27563","482",NA
"2489","*Platte Valley Public Power and","Nebraska","26-663","11882949","559192","27","5709800"
"2490","*Polk Municipal Light & Water","Nebraska","26-664","30000","8244","220","217650"
"2491","*Poole Municipal Lighting","Nebraska","26-665",NA,NA,NA,NA
"2492","""Village of Potter","Nebraska","26-666","65000","10173","141",NA
"2493","*Polk County Rural Public","Nebraska","26-667","338703","31731","564","739179"
"2494","""Village of Prague","Nebraska","26-668","15000","4881","14","84630"
"2495","""Village of Ragan","Nebraska","26-669","16500","2033",NA,"48220"
"2496","""Randolph Electric Light and","Nebraska","26-670",NA,"236","378",NA
"2497","'Village of Richland","Nebraska","26-671",NA,NA,NA,NA
"2498","""Village of Raymond","Nebraska","26-672",NA,NA,NA,NA
"2499","*Red Cloud Light and Power","Nebraska","26-673",NA,"25572","874",NA
"2500","""Reynolds Power and Light","Nebraska","26-674",NA,NA,NA,NA
"2501","""Village of Riverdale","Nebraska","26-675",NA,NA,NA,NA
"2502","""Roosevelt Rural Public Power","Nebraska","26-676","226702","35123","525","823991"
"2503","""Village of Ruskin","Nebraska","26-677","5000","1836","63",NA
"2504","""City of Saint Paul","Nebraska","26-678","70771","29137","586","725882"
"2505","""Salem Transmission Line","Nebraska","26-679",NA,NA,NA,NA
"2506","""City of Sargent","Nebraska","26-680",NA,NA,"16182",NA
"2507","""Schuyler Department of Utilities","Nebraska","26-681","276293","61419","997",NA
"2508","""Seward County Rural Public","Nebraska","26-682","195403","14893","319","190160"
"2509","*Seward Municipal Electric Light","Nebraska",NA,"126268","56153","1025","2283411"
"2510","*Village of Shickley","Nebraska","26-684",NA,NA,NA,NA
"2511","* Village of Smithfield","Nebraska","26-686",NA,NA,NA,NA
"2512","""Village of Snyder","Nebraska","26-687",NA,"5749","139","122000"
"2513","*City of South Sioux City","Nebraska","26-688","70009","48298","1375","1356000"
"2514","""Southeastern Nebraska Public","Nebraska","26-689",NA,NA,NA,NA
"2515","""Southern Nebraska Rural Public","Nebraska","26-690","678884","37644","947","611895"
"2516","""Spencer Municipal Light Plant","Nebraska","26-691",NA,"9320",NA,"191200"
"2517","*Stanton Municipal Water and","Nebraska","26-692","40000","21000","570","768000"
"2518","*Stanton County Rural Public","Nebraska","26-693","100645","5291","186",NA
"2519","""Village of Stapleton","Nebraska","26-694","35000","11370","150",NA
"2520","*Stratton Municipal Ice, Light &","Nebraska","26-695",NA,"17243","191",NA
"2521","*City of Stromsburg","Nebraska","26-696","38000","23341","463","483190"
"2522","; Stuart Municipal Light & Power","Nebraska","26-697","39000","13713","280",NA
"2523","'Sutherland Municipal Light &","Nebraska","26-698",NA,NA,NA,NA
"2524","-Sution Light and Water Plant","Nebraska","26-699",NA,NA,NA,NA
"2525","*Village of Sumner","Nebraska","26-700",NA,NA,NA,NA
"2526","'Syracuse Municipal Water &","Nebraska","26-701","38698","14288","432",NA
"2527","""Village of Talmage","Nebraska","26-702","22000","7762","200","221130"
"2528","•""City of Superior, Light Depart","Nebraska","26-703",NA,NA,NA,NA
"2529","""Village of Tamora","Nebraska","26-704","2000","1100","40","19000"
"2530","*Tecumseh Light & Water","Nebraska","26-705",NA,"37789","820",NA
"2531","""Village of Thurston","Nebraska","26-707",NA,NA,NA,NA
"2532","""Trenton Municipal Light &","Nebraska","26-708",NA,NA,NA,NA
"2533","""Valparaiso Light Department","Nebraska","26-709",NA,NA,"175",NA
"2534","""Village of Trumbull","Nebraska","26-710",NA,NA,NA,NA
"2535","""Upland Municipal Power & Light","Nebraska","26-711",NA,"124798","10",NA
"2536","""Venango Municipal Electric","Nebraska","26-713",NA,"6595",NA,"5"
"2537","*Wahoo Water and Light","Nebraska","26-715","211218","63339","1001",NA
"2538","*Wakeficld Municipal Power Plant","Nebraska","26-716",NA,NA,NA,NA
"2539","*WaIthill Municipal Electric","Nebraska","26-717",NA,NA,NA,NA
"2540","*Wayne Light Department","Nebraska","26-719","180992","63796","909",NA
"2541","*Wayne County Rural Public","Nebraska","26-720","256352","16373","474","45100"
"2542","*West Point Light and Water","Nebraska","26-721","72508","34746","822",NA
"2543","*Weston Municipal Electric Light","Nebraska","26-723","19000","4443","117","131690"
"2544","*City of Wither Light and Power","Nebraska","26-725",NA,"283211","640","711062"
"2545","*Wilcox Municipal Electric","Nebraska","26-727","10600","4765","179","120240"
"2546","*Wilsonville Light and Water","Nebraska","26-729",NA,NA,NA,NA
"2547","*Winside Power and Light","Nebraska","26-731","44000",NA,"174",NA
"2548","*Wisner Electric Light & Water","Nebraska","26-733","90300","23158","01",NA
"2549","'Village of Wolbach","Nebraska","26-735",NA,"711","174","151720"
"2550","*Wood Lake Municipal Power","Nebraska","26-737","15000","3707","90",NA
"2551","""•Village of Wood River","Nebraska","26-739","20000","12000","310","240000"
"2552","*Wymore Water and Light","Nebraska","26-741",NA,"37190","784",NA
"2553","California Electric Power","Nevada","27-016",NA,NA,NA,NA
"2554","Iffl.","Nevada","27-085",NA,NA,NA,NA
"2555","California-Pacific Utilities","Nevada","27-018",NA,NA,"88",NA
"2556","Elko Lamoille Power Company","Nevada","27-025",NA,NA,"1527",NA
"2557","Ely Light & Power Company","Nevada","27-036","204415","141388","1502","2399019"
"2558","Idaho Power Company","Nevada","27-040",NA,"144449",NA,NA
"2559","Kelly & Rebaleati","Nevada","27-047",NA,"6928","151",NA
"2560","Mason Water, Light & Power Co.","Nevada","27-080",NA,NA,"24","43120"
"2561","The Nevada-California Electric","Nevada","27-085",NA,"310230","1640",NA
"2562","Panaca Power Co.","Nevada","27-110",NA,NA,NA,NA
"2563","Paradise Utility Plant","Nevada","27-113","3000",NA,"44",NA
"2564","Pioche Power and Light Co.","Nevada","27-124","24298","18741","397","523703"
"2565","Sierra Pacific Power Company","Nevada","27-146","9139949","1853027","15501","21477690"
"2566","Southern Nevada Power Company","Nevada","27-157","910857","318227","3505","20675386"
"2567","Wells Power Co.","Nevada","27-168","177688","32958","359",NA
"2568","Western States Utilities Company","Nevada","27-179","662135",NA,"2368","3308760"
"2569","Austin Garage & Machine Shop","Nevada","27-214",NA,"7140","87",NA
"2570","Nevada Consolidated Copper","Nevada","27-298",NA,"136697","1078",NA
"2571","Southern Pacific Company","Nevada","27-340",NA,NA,NA,NA
"2572","UnionPacific Railroad Company","Nevada","27-360",NA,NA,NA,NA
"2573","""Caliente Public Utilities","Nevada","27-510",NA,"20783","322","755977"
"2574","*Carlin Municipal Light & Power","Nevada","27-545",NA,"20887","261",NA
"2575","*U. S. Department of Interior,","Nevada","27-550",NA,NA,NA,NA
"2576","*City of Fallon","Nevada","27-577","114402","77919",NA,"256811"
"2577","""""Lincoln County Power District","Nevada","27-588","900446","100131","13","18718988"
"2578","*Mineral County Power System","Nevada","27-599",NA,"46984","352","1163370"
"2579","*Truckee-Carson Irrigation","Nevada","27-627","566431","87562","713",NA
"2580","*U. S. Bureau of Reclamation,","Nevada","27-630","36326333","5350654","699",NA
"2581","Bellows Falls Hydro-Electric","New Hampshire","28-018",NA,"911679","1",NA
"2582","Central Vermont Public Service","New Hampshire","28-022",NA,"45176","4648",NA
"2583","Concord Electric Company","New Hampshire","28-026","2307806","666794","9312","9759100"
"2584","Connecticut River Power Company","New Hampshire","28-031","42094081","4141158","14","30311898"
"2585","Danbury Light & Power Co.","New Hampshire","28-035","39231","8580","185","79465"
"2586","The Derry Electric Company","New Hampshire","28-039","804353","288721","4490","8326509"
"2587","Exeter & Hampton Electric","New Hampshire","28-052","1040908","3785811","5682","9654760"
"2588","Granite State Electric Company","New Hampshire","28-064","1652081","531425","6852","13274104"
"2589","Greenville Electric Lighting Co.","New Hampshire","28-068","199244","34619","477",NA
"2590","George H. Jones","New Hampshire","28-081","18496","17891",NA,NA
"2591","The Lamprey River Improvement","New Hampshire","28-085","197264",NA,"1",NA
"2592","Meriden Electric Light & Power","New Hampshire","28-094","23671","8692",NA,"168000"
"2593","Mutual Public Service Co. of","New Hampshire","28-102","11801","2238","74","28372"
"2594","New Hampshire Gas and Electric","New Hampshire","28-110","3891723","1027326","9517","1661679"
"2595","Public Service Company of New","New Hampshire","28-123","37375629","6276025","7376","12496656"
"2596","The Twin State Gas & Electric","New Hampshire","28-136","11116798","2501045",NA,"65563947"
"2597","White Mountain Power Co.","New Hampshire","28-148","68355","8029","220","63960"
"2598","White Mountain Power Company","New Hampshire","28-150","1114817","347156","5850","6822783"
"2599","Wonalancet Electric Co.","New Hampshire","28-152",NA,NA,NA,NA
"2600","Belmont Hosiery Co.","New Hampshire","28-241",NA,"9751","200",NA
"2601","Brown Co.","New Hampshire","28-262",NA,NA,NA,NA
"2602","The Parker Young Co.","New Hampshire","28-346","34432","19943","373",NA
"2603","Sullivan Machinery Company","New Hampshire","28-367",NA,NA,NA,NA
"2604","""Ashland Municipal Electric Light","New Hampshire","28-525",NA,NA,NA,NA
"2605","""Hancock Electric Department","New Hampshire","28-536",NA,NA,NA,NA
"2606","""Littleton Water & Light","New Hampshire","28-547","257336","100204","1","1690630"
"2607","*New Hampton Village Fire","New Hampshire","28-558",NA,NA,NA,NA
"2608","*New Ipswich Electric Light","New Hampshire","28-569",NA,NA,NA,NA
"2609","*Rindge Electric Light","New Hampshire","28-580",NA,NA,NA,NA
"2610","•Municipal Electric Department of","New Hampshire","28-591",NA,"51496","1316",NA
"2611","*Woodsville Water and Light","New Hampshire","28-602","99264","34633","471","337590"
"2612","Atlantic City Electric Company","New Jersey","29-024","44325318","8479142","102059","212000"
"2613","Deepwater Light and Power","New Jersey","29-051","7961377",NA,NA,NA
"2614","Jersey Central Power & Light","New Jersey","29-078","60965930","10282919","111739","1404720"
"2615","Millville Electric Light Company","New Jersey","29-087","607280","277321","4492","6966632"
"2616","New Jersey Power & Light","New Jersey","29-095","22961856","4507850","54898","4917396"
"2617","Orange and Rockland Electric","New Jersey","29-104","351380","90273","2365","1691244"
"2618","Pemberton Suburban Light and","New Jersey","29-122","12174","5559","87",NA
"2619","Public Service Electric and Gas","New Jersey","29-131","33721546","81071100","963824","5935000"
"2620","Rockland Electric Company","New Jersey","29-140","1763041","704119","8717","19602962"
"2621","South Jersey Power & Light","New Jersey","29-167","699891",NA,"2488","4527087"
"2622","Millville Manufacturing Co.","New Jersey","29-225","399023","143128","1",NA
"2623","The New Jersey Zinc Company","New Jersey","29-250",NA,"35901","2",NA
"2624","Riegel Paper Corporation","New Jersey","29-309",NA,NA,NA,NA
"2625","Society for Establishing Useful","New Jersey","29-330",NA,NA,"61",NA
"2626","*Borough of Butler","New Jersey","29-524","392988","131931","2361","2296200"
"2627","""Franklin Borough Electric","New Jersey","29-535","72225","56169","1027","1165439"
"2628","*Borough of Lavallette","New Jersey","29-546",NA,NA,NA,NA
"2629","""Madison Borough Water & Light","New Jersey","29-557","154598","161306","2612","3778038"
"2630","*Milltown Borough Electric","New Jersey","29-568","69235","82813","1015","2366000"
"2631","*Ogdensburg Borough Electrical","New Jersey","29-579",NA,"13503","302","237000"
"2632","'Park Ridge Borough Electric","New Jersey","29-590","3424","56855","871",NA
"2633","*Passaic Valley Water Commission","New Jersey","29-595",NA,NA,NA,NA
"2634","* Pemberton Borough Electric","New Jersey","29-601","40000","17796","360",NA
"2635","*Perth Amboy Municipal Electric","New Jersey","29-612","197458",NA,NA,NA
"2636","'Borough of Seaside Heights","New Jersey","29-623","50000","35925","850","883928"
"2637","*South River Board of Public","New Jersey","29-634","453282","209181","2919",NA
"2638","""Vineland Borough Electric","New Jersey","29-645","2271297",NA,"6289",NA
"2639","""Sussex Rural Electric","New Jersey","29-880","159950","25011","684","559900"
"2640","Albuquerque Gas and Electric","New Mexico","30-012","8009834","1267364","17135","498020"
"2641","Community Public Service","New Mexico","30-026",NA,"474000","3932",NA
"2642","Deming Ice and Electric Company","New Mexico","30-033","572472","190896","1153",NA
"2643","Duncan Utilities Co.","New Mexico","30-040",NA,NA,NA,NA
"2644","Elida Light Plant","New Mexico","30-044","20000","7318","110",NA
"2645","El Paso Electric Company (Texas)","New Mexico","30-047",NA,"13461","23",NA
"2646","The Inland Utilities Company","New Mexico","30-061",NA,"191441","2609",NA
"2647","The Las Vegas Light and Power","New Mexico","30-068","501772","157261","2060",NA
"2648","Lincoln County Utilities Company","New Mexico","30-070",NA,"21543","259",NA
"2649","Lincoln Power & Light Co.","New Mexico","30-072",NA,NA,NA,NA
"2650","Melrose Power Company","New Mexico","30-082","50000","13000","200",NA
"2651","Mora Public Service Company","New Mexico","30-093",NA,"4200","80",NA
"2652","New Mexico Electric Service","New Mexico","30-103","1566011","298801","2335","889346"
"2653","New Mexico Power Company","New Mexico","30-131","3964711","565142","6284","8173868"
"2654","New Mexico Public Service","New Mexico","30-138","1380952","204949","3172","126000"
"2655","Pendleton Power Company","New Mexico","30-155",NA,NA,NA,NA
"2656","Southwestern Public Service","New Mexico","30-159",NA,"694977","8407",NA
"2657","Texas-New Mexico Utilities","New Mexico","30-168",NA,"286301","4087",NA
"2658","The Trinidad Electric Transmis","New Mexico","30-173",NA,"52400",NA,NA
"2659","United Power Company","New Mexico","30-187",NA,NA,NA,NA
"2660","Vaughn Light and Power Company","New Mexico","30-194",NA,NA,NA,NA
"2661","Gallup American Coal Co.","New Mexico","30-250","668771","89311","317",NA
"2662","""Clayton Municipal Electric","New Mexico","30-515","134446","82862","692",NA
"2663","'Carlsbad Caverns National Park","New Mexico","30-525",NA,NA,NA,NA
"2664","""Town of Gallup Electric Light","New Mexico","30-526","516499","180680","2033","4510023"
"2665","""The Raton Public Service Co.","New Mexico","30-527","456802","133191","2118",NA
"2666","""City of Tucumcari","New Mexico","30-540","51503","112672","1377",NA
"2667","*U. S. Bureau of Reclamation,","New Mexico","30-560",NA,NA,NA,NA
"2668","""Central Valley Electric","New Mexico","30-823","274588","43147","350",NA
"2669","*Farmers' Electric Cooperative,","New Mexico","30-850","224724","28250","636","528600"
"2670","*Otero County Electric","New Mexico","30-890",NA,NA,NA,NA
"2671","Adams Electric Light Company","New York","31-011","302088","120736","2104","4263568"
"2672","Bonaparte Light & Water","New York","31-019","1000","651","32",NA
"2673","Brooklyn Edison Company, Inc.","New York","31-024","225332784","53754033","826209",NA
"2674","Buffalo Niagara Electric","New York","31-029","92050368","21318331","220703","645721989"
"2675","Canton Electric Light","New York","31-030","198380","106","1157","434165"
"2676","Canadea Power Corporation","New York","31-031","2514284",NA,NA,NA
"2677","The Cazenovia Electric Company","New York","31-033","340832","96979","1380","1742129"
"2678","Central Hudson Gas & Electric","New York","31-035","31018256","7565412",NA,"265550235"
"2679","Central New York Power","New York","31-036","101324227","19354472","203676","241608827"
"2680","Central Vermont Public Service","New York","31-037",NA,"23571","13",NA
"2681","Consolidated Edison Company of","New York","31-040","431910330","110730022","1012978","21558"
"2682","Cooks Falls Electric Co., Inc.","New York","31-041","33206","5168","63",NA
"2683","Corinth Electric Light and Power","New York","31-044","95433","65326",NA,"1366703"
"2684","Deer River Power Co.","New York","31-046",NA,NA,NA,NA
"2685","Edwards Electric Light & Power","New York","31-052",NA,"16951","320","402480"
"2686","Ellenville Electric Company","New York","31-054","435555","240163","2284","9072134"
"2687","Ellicottville Electric Light Co.","New York","31-055",NA,"23330","582",NA
"2688","The Fishers Island Electric","New York","31-059","197478",NA,NA,NA
"2689","H. P. Gould Electric Light Plant","New York","31-062","52311","27216","812","523425"
"2690","Green Settlement Electric Light","New York","31-064",NA,NA,NA,NA
"2691","Hammond Light & Power Co. Inc.","New York","31-067","43669","11704","201","326800"
"2692","Hudson River Power Corporation","New York","31-069","29977580","820700","3",NA
